,feature_idx,cv_scores,avg_score,feature_names,ci_bound,std_dev,std_err
0,"(0, 4, 8, 11)",[0.80856058 0.77232353 0.76988551 0.79921357 0.76066012],0.782128661535325,"('modified_subsystems', 'number_unique_changes', 'lines_of_code_added', 'line_of_code_old')",0.023681976841855096,0.018425382537552243,0.009212691268776121
1,"(0, 4, 8)",[0.81073645 0.77300755 0.76693391 0.79421066 0.76561896],0.7821015063465109,"('modified_subsystems', 'number_unique_changes', 'lines_of_code_added')",0.02263734139415485,0.017612620669541883,0.008806310334770941
2,"(0, 4, 8, 9)",[0.81134939 0.76245147 0.76707147 0.79464477 0.76610161],0.7803237421068616,"('modified_subsystems', 'number_unique_changes', 'lines_of_code_added', 'lines_of_code_deleted')",0.024823042145872286,0.019313170109816338,0.009656585054908169
3,"(0, 4, 8, 9, 11)",[0.80882501 0.76194094 0.76973724 0.79894454 0.76075634],0.7800408163579498,"('modified_subsystems', 'number_unique_changes', 'lines_of_code_added', 'lines_of_code_deleted', 'line_of_code_old')",0.02565139983074952,0.019957660530683947,0.009978830265341973
4,"(0, 4, 8, 9, 10)",[0.81144646 0.75910091 0.76710205 0.79360765 0.76641721],0.7795348560502275,"('modified_subsystems', 'number_unique_changes', 'lines_of_code_added', 'lines_of_code_deleted', 'files_churned')",0.025451273677782195,0.0198019555847322,0.009900977792366098
5,"(0, 4, 8, 10)",[0.81147091 0.75858503 0.76716013 0.79359543 0.76656116],0.7794745315911374,"('modified_subsystems', 'number_unique_changes', 'lines_of_code_added', 'files_churned')",0.025563650792521875,0.019889388797819606,0.009944694398909803
6,"(0, 4, 8, 10, 11)",[0.80867445 0.7532084  0.76987099 0.79939317 0.76070785],0.7783709723853701,"('modified_subsystems', 'number_unique_changes', 'lines_of_code_added', 'files_churned', 'line_of_code_old')",0.028027738586897846,0.02180653281500522,0.010903266407502608
7,"(0, 4, 8, 9, 10, 11)",[0.80884871 0.75315949 0.76975788 0.79903091 0.7606455 ],0.7782884951248442,"('modified_subsystems', 'number_unique_changes', 'lines_of_code_added', 'lines_of_code_deleted', 'files_churned', 'line_of_code_old')",0.028039898753231676,0.021815993837533753,0.010907996918766876
8,"(0, 4, 5, 8)",[0.80867598 0.77049081 0.76266088 0.79331341 0.74898506],0.7768252291871983,"('modified_subsystems', 'number_unique_changes', 'purpose', 'lines_of_code_added')",0.027579354791260557,0.02145767498892816,0.01072883749446408
9,"(0, 4, 5, 8, 11)",[0.8062907  0.77093715 0.7668506  0.79617331 0.74029208],0.7761087661312972,"('modified_subsystems', 'number_unique_changes', 'purpose', 'lines_of_code_added', 'line_of_code_old')",0.029916255164985025,0.023275862871872197,0.011637931435936097
10,"(0, 4, 5, 8, 9)",[0.81053621 0.7609428  0.76280609 0.79360995 0.74944076],0.7754671629392704,"('modified_subsystems', 'number_unique_changes', 'purpose', 'lines_of_code_added', 'lines_of_code_deleted')",0.02935212791984418,0.02283695270989598,0.01141847635494799
11,"(0, 4, 5, 8, 10)",[0.8106241  0.75889838 0.76507903 0.79143713 0.74842544],0.7748928165101436,"('modified_subsystems', 'number_unique_changes', 'purpose', 'lines_of_code_added', 'files_churned')",0.029326573192695857,0.022817070263996517,0.011408535131998257
12,"(4, 8, 10)",[0.80519397 0.76932148 0.76448901 0.78474366 0.75029598],0.7748088206088243,"('number_unique_changes', 'lines_of_code_added', 'files_churned')",0.02411040959748289,0.018758717776699504,0.009379358888349752
13,"(0, 1, 2, 4, 8, 11)",[0.80531473 0.7378894  0.75584054 0.78185778 0.79239762],0.7746600147047535,"('modified_subsystems', 'entropy', 'number_of_authors', 'number_unique_changes', 'lines_of_code_added', 'line_of_code_old')",0.03154803056468182,0.024545439569609792,0.012272719784804896
14,"(0, 4, 6, 8)",[0.80415304 0.76841582 0.76248357 0.79292211 0.74515316],0.7746255390295083,"('modified_subsystems', 'number_unique_changes', 'experience', 'lines_of_code_added')",0.0273331951188992,0.021266154400977906,0.010633077200488951
15,"(0, 4, 5, 8, 9, 10)",[0.80600639 0.76015408 0.76284889 0.792689   0.75075707],0.7744910848857522,"('modified_subsystems', 'number_unique_changes', 'purpose', 'lines_of_code_added', 'lines_of_code_deleted', 'files_churned')",0.02713621932608409,0.021112900542252663,0.010556450271126332
16,"(4, 8, 9, 10)",[0.80515576 0.76796567 0.76436367 0.78437223 0.75015819],0.7744031026898087,"('number_unique_changes', 'lines_of_code_added', 'lines_of_code_deleted', 'files_churned')",0.024217800557679792,0.018842271592156578,0.009421135796078289
17,"(0, 4, 5, 8, 9, 10, 11)",[0.80365015 0.75495858 0.76951331 0.7987252  0.7445743 ],0.7742843067113366,"('modified_subsystems', 'number_unique_changes', 'purpose', 'lines_of_code_added', 'lines_of_code_deleted', 'files_churned', 'line_of_code_old')",0.030080425761491197,0.02340359317336874,0.01170179658668437
18,"(0, 1, 2, 4, 6, 8, 11)",[0.80326037 0.73873009 0.75487451 0.78259148 0.79007678],0.7739066457084707,"('modified_subsystems', 'entropy', 'number_of_authors', 'number_unique_changes', 'experience', 'lines_of_code_added', 'line_of_code_old')",0.030405501362193072,0.023656513034601385,0.01182825651730069
19,"(0, 4, 5, 8, 9, 11)",[0.80679359 0.7601984  0.76658616 0.79308719 0.74241741],0.7738165499516255,"('modified_subsystems', 'number_unique_changes', 'purpose', 'lines_of_code_added', 'lines_of_code_deleted', 'line_of_code_old')",0.02977040595814794,0.023162387233976022,0.011581193616988011
20,"(0, 1, 2, 4, 8, 9, 10, 11)",[0.80486992 0.73754242 0.75311669 0.78107059 0.79170252],0.7736604279597936,"('modified_subsystems', 'entropy', 'number_of_authors', 'number_unique_changes', 'lines_of_code_added', 'lines_of_code_deleted', 'files_churned', 'line_of_code_old')",0.031905343546490654,0.024823441208553437,0.012411720604276718
21,"(0, 1, 2, 4, 8, 10, 11)",[0.80540185 0.73827764 0.75310599 0.78058757 0.79072877],0.7736203648740695,"('modified_subsystems', 'entropy', 'number_of_authors', 'number_unique_changes', 'lines_of_code_added', 'files_churned', 'line_of_code_old')",0.031594374916708995,0.02458149704995689,0.012290748524978445
22,"(0, 4, 6, 8, 9, 11)",[0.80386567 0.75842989 0.76502553 0.79695362 0.74364288],0.7735835172160642,"('modified_subsystems', 'number_unique_changes', 'experience', 'lines_of_code_added', 'lines_of_code_deleted', 'line_of_code_old')",0.029659237255738668,0.023075894206735413,0.011537947103367705
23,"(0, 4, 6, 8, 9)",[0.80492342 0.75967717 0.76275718 0.79361912 0.74527324],0.7732500265569696,"('modified_subsystems', 'number_unique_changes', 'experience', 'lines_of_code_added', 'lines_of_code_deleted')",0.028711951552353905,0.022338873747093275,0.011169436873546636
